#Archive/File	Name	Time	Size	Type
Archive	GSE265774_RAW.tar	10/15/2025 00:32:22	5960396800	TAR
File	GSM8228823_Chen_a_lobe_10x_Lobe_D018_26_13_NeuN-v7_filtered_feature_bc_matrix.h5	03/13/2024 16:43:30	42368777	H5
File	GSM8228824_Chen_a_lobe_10x3_Lobe_19_D010_Nu-v7_filtered_feature_bc_matrix.h5	03/13/2024 16:43:00	40110124	H5
File	GSM8228825_Chen_rgc_mac_NeuN_10x3V31_19_D016_Macular_NeuN_T-v7_filtered_feature_bc_matrix.h5	03/13/2024 16:44:42	93533234	H5
File	GSM8228826_Chen_a_lobe_10x_Lobe_D30_13_Nu-v7_filtered_feature_bc_matrix.h5	03/13/2024 16:44:00	53046761	H5
File	GSM8228827_Chen_a_lobe_10x3_Lobe_19_D007_NeuN-v7_filtered_feature_bc_matrix.h5	03/13/2024 16:42:43	73924397	H5
File	GSM8228828_Chen_a_lobe_10x_Lobe_D017_18_13_Nu-v7_filtered_feature_bc_matrix.h5	03/13/2024 16:43:28	52663960	H5
File	GSM8228829_Chen_a_lobe_10x_Lobe_D30_13_NeuN-v7_filtered_feature_bc_matrix.h5	03/13/2024 16:43:57	123480493	H5
File	GSM8228830_cellranger_v2.1_atac_19_D019_macular_NeuN_2_filtered_peak_bc_matrix.h5	03/13/2024 19:01:04	50953143	H5
File	GSM8228831_cellranger_v2.1_atac_D028_13_macular_NeuN_1_filtered_peak_bc_matrix.h5	03/13/2024 19:01:33	30732449	H5
File	GSM8228832_Chen_a_lobe_10x3_Lobe_19_D011_NeuN-v7_filtered_feature_bc_matrix.h5	04/23/2024 17:43:53	411529317	H5
File	GSM8228833_Chen_a_lobe_10x3_Lobe_19_D009_Nu-v7_filtered_feature_bc_matrix.h5	03/13/2024 16:42:55	33131551	H5
File	GSM8228834_Chen_a_lobe_10x3_Lobe_19_D011_Nu-v7_filtered_feature_bc_matrix.h5	03/13/2024 16:42:37	56913638	H5
File	GSM8228838_cellranger_v2.1_atac_19_D003_macular_NeuN_2_filtered_peak_bc_matrix.h5	03/13/2024 19:00:25	40599049	H5
File	GSM8228843_Chen_a_lobe_10x3_Lobe_D009_13_NeuN-v7_filtered_feature_bc_matrix.h5	03/13/2024 16:43:15	49935377	H5
File	GSM8228849_Chen_a_lobe_10x_Lobe_D27_13_Nu-v7_filtered_feature_bc_matrix.h5	03/13/2024 16:43:50	57464655	H5
File	GSM8228850_cellranger_v2.1_atac_19_D003_macular_NeuN_3_filtered_peak_bc_matrix.h5	03/13/2024 19:00:27	37253339	H5
File	GSM8228851_Chen_a_lobe_10x3_Lobe_19_D006_NeuN-v7_filtered_feature_bc_matrix.h5	03/13/2024 16:42:28	412568433	H5
File	GSM8228852_Chen_a_lobe_10x_Lobe_D017_18_13_NeuN-v7_filtered_feature_bc_matrix.h5	03/13/2024 16:43:26	125175070	H5
File	GSM8228853_Chen_a_lobe_10x3_Lobe_19_D011_NeuN-v7-0605_filtered_feature_bc_matrix.h5	03/13/2024 16:42:34	115882486	H5
File	GSM8228854_Chen_a_lobe_10x_Lobe_D19_13_NeuN-v7_filtered_feature_bc_matrix.h5	03/13/2024 16:43:38	107475046	H5
File	GSM8228855_Chen_a_lobe_10x3_Lobe_D005_13_Nu-v7_filtered_feature_bc_matrix.h5	03/13/2024 16:43:13	56195411	H5
