analysis_group	total_cells	min_donor_cells	max_donor_cells	canonical_fragment_records	canonical_read_support	barcode_retained_pct	record_retained_pct	read_support_retained_pct	ambiguous_barcodes
AII_amacrine	419	59	153	10637619	16087286	92.9047	91.4028	91.5443	32
Astrocyte	217	12	90	6968362	10355326	93.9394	94.1311	93.9745	14
Cone	2099	339	681	45147603	66908353	94.6348	94.8875	94.8484	119
GABA_amacrine	1442	281	478	34053778	50810886	93.5149	93.6431	93.6748	100
Gly_amacrine	686	134	237	9837219	14803562	93.9726	92.2560	92.2559	44
Horizontal	1052	209	325	28617070	42403522	92.6872	91.9981	92.0427	83
MG	3434	713	1101	86606259	129095963	93.6971	93.2359	93.2168	231
Microglia	215	27	81	7347840	10724725	92.6724	91.5845	91.6240	17
OFF_cone_bipolar	3686	710	1095	62048525	92499218	93.9348	93.5786	93.5456	238
ON_cone_bipolar	2456	440	781	42289290	62953002	93.9916	94.0567	94.0912	157
RGC	465	42	160	19404819	28926856	94.3205	94.0802	94.1996	28
Rod	30062	5809	12167	380954728	576610006	95.6749	93.7050	93.7255	1359
Rod_bipolar	2189	399	618	47423189	70106196	94.3534	93.5680	93.6318	131
