analysis_group	published_label	donor	unambiguous_cells	fragment_records	canonical_fragment_records	read_support_sum	canonical_read_support_sum
AII_amacrine	AII amacrine	LGS1	153	4655866	4653258	6906328	6902492
AII_amacrine	AII amacrine	LGS2	116	987253	985675	1452624	1450323
AII_amacrine	AII amacrine	LGS3	59	1970537	1969535	2705228	2703845
AII_amacrine	AII amacrine	LVG1	91	3034337	3029151	5039009	5030626
Astrocyte	Astrocyte	LGS1	12	437423	437180	660649	660271
Astrocyte	Astrocyte	LGS2	46	1732868	1730821	2548596	2545694
Astrocyte	Astrocyte	LGS3	90	2665067	2663765	3678850	3677097
Astrocyte	Astrocyte	LVG1	69	2138928	2136596	3476001	3472264
Cone	Cone photoreceptor	LGS1	681	13417736	13410351	20080202	20069433
Cone	Cone photoreceptor	LGS2	646	9003675	8990229	13222047	13202683
Cone	Cone photoreceptor	LGS3	433	14014194	14007854	19346545	19338036
Cone	Cone photoreceptor	LVG1	339	8749865	8739169	14315423	14298201
GABA_amacrine	GABA amacrine	LGS1	478	11867982	11862684	17655252	17647381
GABA_amacrine	GABA amacrine	LGS2	377	5263295	5254945	7697726	7685657
GABA_amacrine	GABA amacrine	LGS3	281	7637852	7634778	10496332	10492083
GABA_amacrine	GABA amacrine	LVG1	306	9316161	9301371	15009189	14985765
Gly_amacrine	Glycinergic amacrine	LGS1	237	3492898	3490798	5245121	5242076
Gly_amacrine	Glycinergic amacrine	LGS2	176	1288726	1286748	1905872	1903042
Gly_amacrine	Glycinergic amacrine	LGS3	134	2335265	2334052	3231251	3229590
Gly_amacrine	Glycinergic amacrine	LVG1	139	2730155	2725621	4436116	4428854
Horizontal	Horizontal cell	LGS1	229	6362847	6358828	9521662	9515622
Horizontal	Horizontal cell	LGS2	289	7218645	7205945	10583998	10565712
Horizontal	Horizontal cell	LGS3	325	8741921	8737480	12042621	12036596
Horizontal	Horizontal cell	LVG1	209	6324105	6314817	10300676	10285592
MG	Muller glia	LGS1	879	19897589	19887626	29803311	29788550
MG	Muller glia	LGS2	1101	29687059	29653338	43718528	43669646
MG	Muller glia	LGS3	741	20647200	20637919	28621842	28609122
MG	Muller glia	LVG1	713	16446559	16427376	27059496	27028645
Microglia	Microglia	LGS1	52	1842477	1841334	2733673	2732086
Microglia	Microglia	LGS2	81	2719441	2716252	3984277	3979636
Microglia	Microglia	LGS3	55	2124917	2124035	2936516	2935332
Microglia	Microglia	LVG1	27	666964	666219	1078897	1077671
OFF_cone_bipolar	OFF cone bipolar	LGS1	959	15702991	15696155	23505098	23494984
OFF_cone_bipolar	OFF cone bipolar	LGS2	1095	15859932	15841510	23287622	23260842
OFF_cone_bipolar	OFF cone bipolar	LGS3	922	16526143	16519923	22811880	22803338
OFF_cone_bipolar	OFF cone bipolar	LVG1	710	14008373	13990937	22968174	22940054
ON_cone_bipolar	ON cone bipolar	LGS1	603	9289435	9285047	13903436	13896902
ON_cone_bipolar	ON cone bipolar	LGS2	781	12581699	12564424	18506819	18481858
ON_cone_bipolar	ON cone bipolar	LGS3	632	11559130	11554200	15938558	15931833
ON_cone_bipolar	ON cone bipolar	LVG1	440	8898098	8885619	14662664	14642409
RGC	Retinal ganglion cell	LGS1	42	1771665	1770885	2630216	2629060
RGC	Retinal ganglion cell	LGS2	160	5358693	5349731	7848251	7835270
RGC	Retinal ganglion cell	LGS3	120	5420411	5418128	7471233	7468147
RGC	Retinal ganglion cell	LVG1	143	6875630	6866075	11009518	10994379
Rod	Rod photoreceptor	LGS1	12167	145517469	145442926	219272048	219161447
Rod	Rod photoreceptor	LGS2	6163	54395994	54338931	80796859	80713823
Rod	Rod photoreceptor	LGS3	5923	83413518	83380762	115600723	115555956
Rod	Rod photoreceptor	LVG1	5809	97881718	97792109	161323663	161178780
Rod_bipolar	Rod bipolar	LGS1	584	11761633	11756148	17472653	17464659
Rod_bipolar	Rod bipolar	LGS2	618	12317757	12299714	18062422	18036139
Rod_bipolar	Rod bipolar	LGS3	588	13700141	13695110	18888599	18881666
Rod_bipolar	Rod bipolar	LVG1	399	9685401	9672217	15744798	15723732
