analysis_group	published_label	donor	unambiguous_cells	retained_fragment_records	retained_read_support	blacklist_overlap_records	unique_to_support_ratio	output_bytes	output_sha256
AII_amacrine	AII amacrine	LGS1	153	4621354	6855199	31904	0.6741385625712689	35615863	f8e25a3b2636c5d011b3daefc0f4bea6ae8febece5f39c126db4bc8d663ae577
AII_amacrine	AII amacrine	LGS2	116	977593	1438372	8082	0.6796524125886766	7908290	f1c4ab80a879392dc4f2278201a78c0ce6d95fa338f4274576f225ef2a9e6f92
AII_amacrine	AII amacrine	LGS3	59	1956216	2685483	13319	0.7284410290439374	15847990	9ba841c3ae080c9d1aec9f39ea684bee7ceb9554313d949a3fd030824c4cf27b
AII_amacrine	AII amacrine	LVG1	91	3009750	4998446	19401	0.602137144224425	23734963	ed4712879d40d76d826d403e137077431156e4d7dea718629599aa97325c669b
Astrocyte	Astrocyte	LGS1	12	434120	655642	3060	0.6621296378206399	3666469	6d10c517d702d45c8fa9687c46b0e05568dff4a0ad4a8986d5e9e1108309bf91
Astrocyte	Astrocyte	LGS2	46	1718223	2527179	12598	0.6798976249802645	13696433	515dd15302f70c9c70f931946e67c66ac3d7306dfca6a01413bcc3bde3090cc9
Astrocyte	Astrocyte	LGS3	90	2645714	3652266	18051	0.724403425161256	20434894	1ce6c2327a1f05cf02deca41dc0239392017636df045788b3242c1afdffbf321
Astrocyte	Astrocyte	LVG1	69	2123393	3450830	13203	0.6153281964049229	16689148	b9b2075035184909de40eff9837446b2b5e62767e70bf8aa9081f4a67d0df6fb
Cone	Cone photoreceptor	LGS1	681	13310852	19921920	99499	0.6681510617450527	92124393	b3631f471a7bd0e1c624af4af35aa133bdf3a6caf5b92f4d14219efbb28c2ff8
Cone	Cone photoreceptor	LGS2	646	8915429	13093521	74800	0.6809038607720567	64117559	c4494879d7472987028bf500d4d8d6608ff9ab24f05ce8a98faba262b1728304
Cone	Cone photoreceptor	LGS3	433	13910132	19203442	97722	0.7243561857296208	97743333	ebcdcb228fb2b8a64315cb7a94cd2f4103b9e7669350f6af51a58bec73119ea2
Cone	Cone photoreceptor	LVG1	339	8676816	14196703	62353	0.6111852871754802	63199401	aedb34cecc89eaa6537a9b2f95c369d8aad6520710d2de571cf8983625d95d93
GABA_amacrine	GABA amacrine	LGS1	478	11787028	17534954	75656	0.6722018204324915	87051251	5431f81f2fc7697131a0e0f836ed6cca53b3299acb02fca282aa93a69ea6eb6e
GABA_amacrine	GABA amacrine	LGS2	377	5215637	7628452	39308	0.6837084378324725	39715519	9db9810bb788e38e980dc2dc050d9cfeb1949fac576e16a8e267497841bb4b9d
GABA_amacrine	GABA amacrine	LGS3	281	7584791	10423132	49987	0.7276882802597147	57612772	f5c28bd35c6cbf55122c5bd43ae611610e59b628fcf4836c2e5725f2525f5538
GABA_amacrine	GABA amacrine	LVG1	306	9243026	14891317	58345	0.6206990288367376	69615120	a2055c0ae49c0bd4e36c41cabd57984689989a94bedbebc2552c78e4ec7862c9
