group	gene	n_cells	fraction_detected	mean_log1p_CP10k
MG_LGS1	GLUL	879	0.9431171786120591	2.483466000213446
MG_LGS1	RLBP1	879	0.7383390216154722	1.2840823709000426
MG_LGS1	SLC1A3	879	0.8270762229806599	1.883138227981809
MG_LGS1	SOX9	879	0.09442548350398179	0.11012306686690311
MG_LGS1	AQP4	879	0.21046643913538113	0.25982523261720314
MG_LGS1	GFAP	879	0.17292377701934017	0.21915171627254706
MG_LGS1	PDE6A	879	0.5199089874857793	1.4344390563459646
MG_LGS1	RHO	879	0.5119453924914675	0.8362645252703117
MG_LGS1	ARR3	879	0.08191126279863481	0.0886743811114468
MG_LGS1	GRM6	879	0.010238907849829351	0.01027043166855084
MG_LGS1	GAD1	879	0.07053469852104664	0.07718435999240958
MG_LGS1	C1QA	879	0.007963594994311717	0.006676414609347954
MG_LGS2	GLUL	1101	0.9645776566757494	2.575839991035033
MG_LGS2	RLBP1	1101	0.8401453224341507	1.513656541632545
MG_LGS2	SLC1A3	1101	0.7992733878292462	1.780707510098778
MG_LGS2	SOX9	1101	0.2134423251589464	0.25523776443078816
MG_LGS2	AQP4	1101	0.1952770208900999	0.23856568597680045
MG_LGS2	GFAP	1101	0.22888283378746593	0.33429104291033707
MG_LGS2	PDE6A	1101	0.5685740236148955	1.5601072709412496
MG_LGS2	RHO	1101	0.5367847411444142	0.7435978267565927
MG_LGS2	ARR3	1101	0.053587647593097185	0.052516507403767176
MG_LGS2	GRM6	1101	0.015440508628519528	0.013310928946871005
MG_LGS2	GAD1	1101	0.06357856494096276	0.06972375056858203
MG_LGS2	C1QA	1101	0.004541326067211626	0.005268526056766192
MG_LGS3	GLUL	741	0.99055330634278	2.756766363556028
MG_LGS3	RLBP1	741	0.9406207827260459	1.8808105349321322
MG_LGS3	SLC1A3	741	0.9136302294197031	1.8822455913452265
MG_LGS3	SOX9	741	0.19298245614035087	0.22008956221864473
MG_LGS3	AQP4	741	0.4507422402159244	0.5915162745724267
MG_LGS3	GFAP	741	0.09986504723346828	0.11636818418997512
MG_LGS3	PDE6A	741	0.7557354925775979	2.598212459979352
MG_LGS3	RHO	741	0.8245614035087719	1.6594559103023871
MG_LGS3	ARR3	741	0.11470985155195682	0.10944534211398538
MG_LGS3	GRM6	741	0.0310391363022942	0.025433864687455388
MG_LGS3	GAD1	741	0.04588394062078273	0.04186204828593478
MG_LGS3	C1QA	741	0.006747638326585695	0.004591423244920043
MG_LVG1	GLUL	713	0.9943899018232819	3.383978911026853
MG_LVG1	RLBP1	713	0.9901823281907434	2.714293964349366
MG_LVG1	SLC1A3	713	0.9733520336605891	2.3506246523488428
MG_LVG1	SOX9	713	0.46984572230014027	0.5958253519989242
MG_LVG1	AQP4	713	0.6746143057503506	1.0200061537276104
MG_LVG1	GFAP	713	0.18513323983169705	0.2099693271020831
MG_LVG1	PDE6A	713	0.36746143057503505	0.7295656292827645
MG_LVG1	RHO	713	0.7503506311360448	1.2320178643846058
MG_LVG1	ARR3	713	0.1150070126227209	0.12129753770185592
MG_LVG1	GRM6	713	0.019635343618513323	0.015638619572487154
MG_LVG1	GAD1	713	0.1150070126227209	0.11907680665864034
MG_LVG1	C1QA	713	0.005610098176718092	0.007966264974155063
MG_all	GLUL	3434	0.970879440885265	2.7590294942557887
MG_all	RLBP1	3434	0.8669190448456611	1.7834060743518825
MG_all	SLC1A3	3434	0.8672102504368084	1.9471685589185506
MG_all	SOX9	3434	0.23179965055329063	0.2812244601029569
MG_all	AQP4	3434	0.3538147932440303	0.4824185051825662
MG_all	GFAP	3434	0.17763541059988353	0.23198187290518568
MG_all	PDE6A	3434	0.5547466511357018	1.5795008044140155
MG_all	RHO	3434	0.6368666278392545	1.066355064592866
MG_all	ARR3	3434	0.08677926616191031	0.0883370991661025
MG_all	GRM6	3434	0.018345952242283053	0.015631878769874482
MG_all	GAD1	3434	0.0722189866045428	0.07586850400024027
MG_all	C1QA	3434	0.00611531741409435	0.006042925795333354
ambiguous_excluded	GLUL	469	0.5927505330490405	1.5259007661532757
ambiguous_excluded	RLBP1	469	0.4562899786780384	0.9244031597055069
ambiguous_excluded	SLC1A3	469	0.47121535181236673	1.0370578143608373
ambiguous_excluded	SOX9	469	0.1279317697228145	0.1470070988054632
ambiguous_excluded	AQP4	469	0.19402985074626866	0.26529167916809
ambiguous_excluded	GFAP	469	0.10021321961620469	0.14045833292525334
ambiguous_excluded	PDE6A	469	0.7078891257995735	2.497375228686093
ambiguous_excluded	RHO	469	0.6823027718550106	1.3942636942214324
ambiguous_excluded	ARR3	469	0.10660980810234541	0.1662509021532178
ambiguous_excluded	GRM6	469	0.05970149253731343	0.09391030766896867
ambiguous_excluded	GAD1	469	0.04477611940298507	0.04933161295319217
ambiguous_excluded	C1QA	469	0.008528784648187633	0.007259687553584851
non_MG_barcode_background	GLUL	47742	0.21090444472372336	0.325658409978851
non_MG_barcode_background	RLBP1	47742	0.04585061371538687	0.06045666088803667
non_MG_barcode_background	SLC1A3	47742	0.028695907167693015	0.04450198189620181
non_MG_barcode_background	SOX9	47742	0.011185120020108082	0.013428686599787796
non_MG_barcode_background	AQP4	47742	0.011834443466968289	0.014713301336235177
non_MG_barcode_background	GFAP	47742	0.015877005571614092	0.021566345200796963
non_MG_barcode_background	PDE6A	47742	0.7869800175945708	3.1559790976882587
non_MG_barcode_background	RHO	47742	0.6839261028025638	1.6118494471357727
non_MG_barcode_background	ARR3	47742	0.09140798458380461	0.17139098309217768
non_MG_barcode_background	GRM6	47742	0.10043567508692555	0.19805916001129406
non_MG_barcode_background	GAD1	47742	0.026140505215533492	0.04194202879891449
non_MG_barcode_background	C1QA	47742	0.005047966151397093	0.006655089668455636
