donor	group	cells	retained_fragment_records	model_counts_pearsonr	model_counts_spearmanr	model_counts_mse_uncalibrated	model_median_jsd	model_median_normalized_jsd	bias_counts_pearsonr	bias_counts_spearmanr	bias_counts_mse_uncalibrated	bias_median_jsd	bias_median_normalized_jsd	counts_pearsonr_gain	counts_spearmanr_gain	median_jsd_reduction	median_normalized_jsd_gain
LGS1	peaks	879	19737292	0.6609487127099957	0.6083108783512166	2.507800466134514	0.6343268741341272	0.17860368359912088	0.40813839912360433	0.4224116506960632	3.567859543551848	0.6756377343894301	0.1275245850624248	0.25281031358639133	0.18589922765515338	0.04131086025530284	0.051079098536696066
LGS1	nonpeaks	879	19737292	0.42354252609552184	0.48083342967406845	5.368467679391835	0.7988747723961065	0.0281198472155396	0.5929569406605111	0.6089081763919327	2.856305626383483	0.7993687800149627	0.02779283819538233	-0.16941441456498924	-0.12807474671786429	0.000494007618856207	0.0003270090201572713
LGS1	peaks_and_nonpeaks	879	19737292	0.7719706461754019	0.7548620264165433	3.9381340727631753	0.7347225155261721	0.08416015362298926	0.25789545989232654	0.24780517547287795	3.2120825849676655	0.7460314160835938	0.07141309915429742	0.5140751862830754	0.5070568509436654	0.01130890055742173	0.012747054468691843
LGS2	peaks	1101	29433336	0.6586774911041183	0.5936508587100814	1.5401307363815429	0.5821180997485333	0.22545531731447505	0.35342892793984604	0.36025654712918626	4.986334910992221	0.6344300909775774	0.15842449856382176	0.3052485631642723	0.23339431158089513	0.052311991229044064	0.06703081875065328
LGS2	nonpeaks	1101	29433336	0.43771150156156685	0.5035660942103143	3.981269777061496	0.7905318299702586	0.035144953429529745	0.5808533867234751	0.6029183333916566	1.9793532039775457	0.7913403580043421	0.034390761233733906	-0.14314188516190823	-0.09935223918134228	0.0008085280340834888	0.0007541921957958386
LGS2	peaks_and_nonpeaks	1101	29433336	0.7728607026281797	0.7658053582840173	2.7607002567215195	0.7066825345702505	0.10782287711898514	0.21830762420024302	0.20153323184250588	3.4828440574848822	0.7221681310795738	0.08972101839021944	0.5545530784279367	0.5642721264415114	0.01548559650932324	0.0181018587287657
LGS3	peaks	741	20491363	0.6079273917383007	0.5423702534518681	2.770325719843546	0.6337792525823281	0.17904784831702236	0.358230582022294	0.3654532342390601	3.699913261255507	0.6726337390028555	0.12996119587935814	0.24969680971600666	0.17691701921280795	0.03885448642052736	0.04908665243766422
LGS3	nonpeaks	741	20491363	0.407001664494337	0.4610628498526802	5.233140906164277	0.798325127803511	0.028488729639391853	0.5663259577511259	0.5832027283454839	2.749260315901676	0.7985456455951633	0.028332244015516348	-0.15932429325678893	-0.12213987849280372	0.00022051779165233043	0.0001564856238755047
LGS3	peaks_and_nonpeaks	741	20491363	0.7514224891549764	0.7281929083753588	4.0017333130039106	0.7381576164053014	0.0813774935592482	0.2355843195530501	0.22649828358027138	3.224586788578591	0.7479130013954272	0.06997897460537467	0.5158381696019263	0.5016946247950874	0.009755384990125737	0.011398518953873532
LVG1	peaks	713	16317594	0.5867276488878079	0.5497535110841036	3.078824343191701	0.6332538855055023	0.17788113003817024	0.2583297295800628	0.2562343628564745	3.573411001803364	0.6721188075291769	0.12927232331603683	0.32839791930774515	0.29351914822762915	0.03886492202367453	0.04860880672213341
LVG1	nonpeaks	713	16317594	0.3684181861774986	0.41824388361195236	6.507153745191819	0.806458215168204	0.021726508979634882	0.4855958862969015	0.49970776505539327	3.549496931524667	0.8065522250213871	0.021558160497173524	-0.11717770011940287	-0.08146388144344091	9.400985318308575e-05	0.00016834848246135778
LVG1	peaks_and_nonpeaks	713	16317594	0.7484029788505838	0.7294294002309315	4.79298904419176	0.7481799961020534	0.07371272674947987	0.15123660821728935	0.15255301056982232	3.5614539666640157	0.7583936943630506	0.06204992776481574	0.5971663706332945	0.5768763896611092	0.010213698260997162	0.01166279898466413
