group	gene	n_cells	fraction_detected	mean_log1p_CP10k
MG_LGS1	SOX9	879	0.09442548350398179	0.11012306686690311
MG_LGS1	SOX10	879	0.005688282138794084	0.005146403177445325
MG_LGS1	NFIA	879	0.7906712172923777	1.6176517599140647
MG_LGS1	NFIB	879	0.7861205915813424	1.5340979965275587
MG_LGS1	NFIC	879	0.17747440273037543	0.20243194580189808
MG_LGS1	NFIX	879	0.17974971558589306	0.21809291706445152
MG_LGS1	LHX2	879	0.3094425483503982	0.4065475013104718
MG_LGS1	RFX1	879	0.1296928327645051	0.14647822380278822
MG_LGS1	RFX2	879	0.11945392491467577	0.1366796816769491
MG_LGS1	RFX3	879	0.6882821387940842	1.2118879815582109
MG_LGS1	FOS	879	0.8907849829351536	2.0661511197852613
MG_LGS1	FOSB	879	0.08873720136518772	0.10176163796098903
MG_LGS1	JUN	879	0.3492605233219568	0.5271636742639845
MG_LGS1	JUNB	879	0.9010238907849829	2.1977876396337503
MG_LGS1	JUND	879	0.17064846416382254	0.20125986506257806
MG_LGS1	CTCF	879	0.08987485779294653	0.10649415272232107
MG_LGS1	RORA	879	0.9692832764505119	2.8918512794856506
MG_LGS1	NFIL3	879	0.3026166097838453	0.3951499906166216
MG_LGS1	DBP	879	0.1149032992036405	0.13147788711303413
MG_LGS1	CRX	879	0.22753128555176336	0.2785687078703215
MG_LGS1	OTX2	879	0.16040955631399317	0.17235658165818554
MG_LGS1	PAX6	879	0.3583617747440273	0.5008966979329178
MG_LGS1	NKX6-1	879	0.0	0.0
MG_LGS1	NOTO	879	0.0	0.0
MG_LGS1	VSX1	879	0.017064846416382253	0.013896065823448656
MG_LGS1	MITF	879	0.04436860068259386	0.05743350361880092
MG_LGS1	TFEB	879	0.04323094425483504	0.049491928769151775
MG_LGS1	NRF1	879	0.2923777019340159	0.36120005752550505
MG_LGS1	NFYA	879	0.05005688282138794	0.05690802613222183
MG_LGS1	NFYB	879	0.048919226393629126	0.05001044472376193
MG_LGS1	NFYC	879	0.09897610921501707	0.1248728834852764
MG_LGS1	SP1	879	0.10693970420932879	0.11705073621910067
MG_LGS1	SP3	879	0.20819112627986347	0.2526123662213461
MG_LGS1	MEF2A	879	0.5449374288964732	0.8501641267443623
MG_LGS1	MEF2B	879	0.02161547212741752	0.025914800343887434
MG_LGS1	MEF2D	879	0.20477815699658702	0.23959941469563356
MG_LGS1	GABPA	879	0.18885096700796358	0.23249194391031755
MG_LGS1	IRF1	879	0.02161547212741752	0.022413589686553898
