Running tracks
LGS1 chr1 921025
LGS1 chr10 1353556
LGS1 chr11 1893256
LGS1 chr12 2333682
LGS1 chr13 2519445
LGS1 chr14 2836167
LGS1 chr15 3136818
LGS1 chr16 3546333
LGS1 chr17 4129120
LGS1 chr18 4302207
LGS1 chr19 4878676
LGS1 chr2 5546181
LGS1 chr20 5816544
LGS1 chr21 5923763
LGS1 chr22 6170204
LGS1 chr3 6682700
LGS1 chr4 7054276
LGS1 chr5 7488753
LGS1 chr6 7946330
LGS1 chr7 8388793
LGS1 chr8 8738543
LGS1 chr9 9168976
LGS1 chrX 9353264
LGS1 chr1 10376649
LGS1 chr10 10863982
LGS1 chr11 11457037
LGS1 chr12 11948014
LGS1 chr13 12155607
LGS1 chr14 12508708
LGS1 chr15 12845166
LGS1 chr16 13292419
LGS1 chr17 13931633
LGS1 chr18 14126259
LGS1 chr19 14754740
LGS1 chr2 15501216
LGS1 chr20 15796368
LGS1 chr21 15917561
LGS1 chr22 16183931
LGS1 chr3 16755279
LGS1 chr4 17175169
LGS1 chr5 17663409
LGS1 chr6 18173973
LGS1 chr7 18666629
LGS1 chr8 19056539
LGS1 chr9 19528113
LGS1 chrX 19737292
LGS2 chr1 1374740
LGS2 chr10 2044470
LGS2 chr11 2853705
LGS2 chr12 3527414
LGS2 chr13 3829749
LGS2 chr14 4310408
LGS2 chr15 4763620
LGS2 chr16 5348639
LGS2 chr17 6179844
LGS2 chr18 6457359
LGS2 chr19 7264274
LGS2 chr2 8282073
LGS2 chr20 8670515
LGS2 chr21 8832968
LGS2 chr22 9164437
LGS2 chr3 9970034
LGS2 chr4 10563581
LGS2 chr5 11250930
LGS2 chr6 11970316
LGS2 chr7 12635884
LGS2 chr8 13187433
LGS2 chr9 13816801
LGS2 chrX 14053235
LGS2 chr1 15567863
LGS2 chr10 16291425
LGS2 chr11 17190754
LGS2 chr12 17926595
LGS2 chr13 18241881
LGS2 chr14 18769287
LGS2 chr15 19265955
LGS2 chr16 19933306
LGS2 chr17 20880468
LGS2 chr18 21172572
LGS2 chr19 22110896
LGS2 chr2 23202235
LGS2 chr20 23637167
LGS2 chr21 23819020
LGS2 chr22 24203223
LGS2 chr3 25056448
LGS2 chr4 25683690
LGS2 chr5 26410001
LGS2 chr6 27169987
LGS2 chr7 27895617
LGS2 chr8 28486615
LGS2 chr9 29179756
LGS2 chrX 29433336
LGS3 chr1 1074088
LGS3 chr10 1587624
LGS3 chr11 2212302
LGS3 chr12 2741945
LGS3 chr13 2970755
LGS3 chr14 3356509
LGS3 chr15 3713482
LGS3 chr16 4163508
LGS3 chr17 4819551
LGS3 chr18 5027920
LGS3 chr19 5680537
LGS3 chr2 6457516
LGS3 chr20 6759712
LGS3 chr21 6880978
LGS3 chr22 7145689
LGS3 chr3 7765276
LGS3 chr4 8221788
LGS3 chr5 8750722
LGS3 chr6 9294496
LGS3 chr7 9819404
LGS3 chr8 10241494
LGS3 chr9 10729254
LGS3 chrX 10955032
LGS3 chr1 11886224
LGS3 chr10 12336066
LGS3 chr11 12880009
LGS3 chr12 13339901
LGS3 chr13 13536889
LGS3 chr14 13874368
LGS3 chr15 14189276
LGS3 chr16 14579313
LGS3 chr17 15149666
LGS3 chr18 15330751
LGS3 chr19 15892960
LGS3 chr2 16575450
LGS3 chr20 16838601
LGS3 chr21 16945528
