chromosome_records	records
GL000009.2	487
GL000194.1	1794
GL000195.1	10833
GL000205.2	9656
GL000213.1	11
GL000218.1	1207
GL000219.1	8147
KI270711.1	699
KI270713.1	5088
KI270721.1	296
KI270726.1	58
KI270727.1	673
KI270728.1	1751
KI270731.1	206
KI270734.1	1146
chr1	9052389
chr10	4363921
chr11	5310779
chr12	4450881
chr13	1940523
chr14	3198927
chr15	3011290
chr16	3847753
chr17	5561316
chr18	1788287
chr19	5408140
chr2	6691237
chr20	2568728
chr21	1075131
chr22	2261447
chr3	5349933
chr4	3876753
chr5	4497515
chr6	4684030
chr7	4400598
chr8	3573177
chr9	4200415
chrX	1776514
chrY	34992
